328, How the Grinch Stole Christmas
329, Star Trek Beyond
330, Over the Hedge
331, Alvin and the Chipmunks: Chipwrecked
332, The Flintstones
333, Enchanted
334, 300: Rise of an Empire
335, Batman Forever
336, Prince of Persia: The Sands of Time
337, The Rock
338, Now You See Me 2
339, Sherlock Holmes: A Game of Shadows
340, The Curious Case of Benjamin Button
341, Tomorrow Never Dies
342, Indiana Jones and the Temple of Doom
343, Back to the Future Part II
344, The Great Wall
345, The Good Dinosaur
346, Fantastic Four
347, Meet the Parents
348, Who Framed Roger Rabbit
349, Crocodile Dundee
350, Black Swan
351, Se7en
352, The Devil Wears Prada
353, Taken 3
354, The Perfect Storm
355, A Christmas Carol
356, Megamind
357, Lethal Weapon 3
358, Schindler's List
359, 101 Dalmatians
360, The Conjuring 2
361, Fatal Attraction
362, Inglourious Basterds
363, The Last Airbender
364, The Conjuring
365, The Proposal
366, Beverly Hills Cop
367, Air Force One
368, Chicken Little
369, As Good as It Gets
370, A Beautiful Mind
371, The Expendables 2
372, Resident Evil: The Final Chapter
373, The Lego Batman Movie
374, The SpongeBob Movie: Sponge Out of Water
375, Ocean's Thirteen
376, Maze Runner: The Scorch Trials
377, Austin Powers: The Spy Who Shagged Me
378, Robin Hood
379, Little Fockers
380, Dangal
381, Bolt
382, Ransom
383, Runaway Bride
384, The Blind Side
385, The Fault in Our Stars
386, The Pursuit of Happyness
387, Rise of the Guardians
388, Chicago
389, The Polar Express
390, A Good Day to Die Hard
391, Mulan
392, Close Encounters of the Third Kind
393, Passengers
394, Battleship
395, Liar Liar
396, G.I. Joe: The Rise of Cobra
397, Wrath of the Titans
398, Hook
399, Rocky IV
400, Rambo: First Blood Part II
401, Van Helsing
402, Resident Evil: Afterlife
403, Superman
404, Stuart Little
405, Beverly Hills Cop II
406, Alice Through the Looking Glass
407, My Best Friend's Wedding
408, Real Steel
409, Horton Hears a Who!
410, Austin Powers in Goldmember
411, Miss Peregrine's Home for Peculiar Children
412, X-Men
413, Look Who's Talking
414, Insurgent
415, Ghostbusters
416, Shutter Island
417, Doctor Dolittle
418, Salt
419, G-Force
420, The Departed
421, Shakespeare in Love
422, Fantastic 4: Rise of the Silver Surfer
423, Coming to America
424, Divergent
425, The Bourne Supremacy
426, Bridesmaids
427, Sex and the City 2
428, Casper
429, Bee Movie
430, American Pie 2
431, Pitch Perfect 2
432, The Sound of Music
433, Oblivion
434, Elysium
435, Lethal Weapon 4
436, Wedding Crashers
437, The Green Mile
438, John Carter
439, Turbo
440, Bridget Jones's Diary
441, Batman Returns
442, The Tourist
443, Mojin: The Lost Legend
444, Scary Movie
445, xXx
446, Split
447, The Bourne Legacy
448, Scooby-Doo
449, Lincoln
450, Spirited Away
451, Lara Croft: Tomb Raider
452, The Expendables
453, Jerry Maguire
454, Bad Boys II
455, Mr. Peabody & Sherman
456, The Silence of the Lambs
457, Grown Ups
458, The Firm
459, Rocky III
460, We're the Millers
461, Gran Torino
462, Epic
463, Neighbors
464, Exodus: Gods and Kings
465, Bambi
466, The Princess and the Frog
467, Something's Gotta Give
468, Indecent Proposal
469, The Prince
470, American Gangster
471, 10,000 BC
472, Waterworld
473, The Truman Show
474, Charlie's Angels
475, The Fifth Element
476, Cinderella
477, Jumanji
478, Knight and Day
479, Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
480, Total Recall
481, Robots
482, Super 8
483, Paddington
484, Charlie's Angels: Full Throttle
485, Wanted
486, Rush Hour 3
487, The Full Monty
488, The Village
489, Erin Brockovich
490, Annabelle
491, Cliffhanger
492, Four Weddings and a Funeral
493, The Hangover Part II
494, Kung Fu Yoga
495, Babe
496, Wild Hogs
497, Hercules
498, Get Out
499, True Grit
500, Bean
501, American Hustle
502, You've Got Mail
503, Enemy of the State
504, The Mask of Zorro
505, Space Jam
506, The Ring
507, Eragon
508, Cloudy with a Chance of Meatballs 2
509, Unbreakable
510, The Blair Witch Project
511, Dumb and Dumber
512, Grown Ups 2
513, The Peanuts Movie
514, Rango
515, Face/Off
516, Teenage Mutant Ninja Turtles: Out of the Shadows
517, Dark Shadows
518, Hulk
519, The Godfather
520, Love Actually
521, Back to the Future Part III
522, Rush Hour
523, Marley & Me
524, After Earth
525, Pixels
526, Hercules
527, A Few Good Men
528, Cloudy with a Chance of Meatballs
529, Daddy's Home
530, RoboCop
531, Eraser
532, Assassin's Creed
533, Resident Evil: Retribution
534, Die Hard 2
535, Crocodile Dundee II
536, Sully
537, Batman & Robin
538, Click
539, Gulliver's Travels
540, Gone in Sixty Seconds
541, Saturday Night Fever
542, 2 Fast 2 Furious
543, A.I. Artificial Intelligence
544, Dead Poets Society
545, Spy
546, American Pie
547, American Reunion
548, Big Daddy
549, Howl's Moving Castle
550, Alvin and the Chipmunks: The Road Chip
551, The Imitation Game
552, The Day the Earth Stood Still
553, Clash of the Titans
554, The Girl with the Dragon Tattoo
555, Alien: Covenant
556, Argo
557, The English Patient
558, Sister Act
559, American Wedding
560, Juno
561, Constantine
562, Hidden Figures
563, Get Smart
564, Baahubali 2: The Conclusion
565, Mr. Bean's Holiday
566, Life Is Beautiful
567, Ghostbusters
568, The Lost World: Jurassic Park
569, Ghost Rider
570, Lethal Weapon 2
571, The Green Hornet
572, Sleepless in Seattle
573, Immortals
574, Taken
